title,content,source,category,priority,url,date,author,language,real_summary
"רעידת אדמה 4.2: הבניינים רועדים, הפוליטיקאים לא","מומחים: 'הרעידה הייתה פחות הרסנית מהדיון האחרון בכנסת'. תושבים דיווחו שהרגישו יציבות רבה יותר בזמן הרעידה מאשר בזמן צפייה בחדשות","וואלה! סאטירה",חדשות,10,https://www.ynet.co.il/news/article/byhqnewss,2024-01-15,יוסי ציניקן,he,"רעידת אדמה בעוצמה 4.2 הורגשה הבוקר בצפון הארץ. אין דיווחים על נפגעים או נזקים"
"משרד האוצר: 'המצב הכלכלי מצוין' - האזרחים: 'גם לנו יש חוש הומור'","שר האוצר הכריז שהכלכלה פורחת. בינתיים, האזרחים מחפשים את הפרחים מתחת לחשבונות החשמל","כלכליסט צוחק",כלכלה,9,https://www.calcalist.co.il/calcalistech/article/rygn4vg4t,2024-01-15,דנה כספית,he,"משרד האוצר פרסם דוח כלכלי המצביע על צמיחה של 3.5% ברבעון האחרון"
"בלעדי: נהגי אוטובוס מאיימים לנהוג בנימוס","ההסתדרות: 'זה צעד קיצוני מדי'. הנוסעים בהלם: 'אנחנו לא מוכנים לשינוי כזה'","רוטר בדיחות",תחבורה,8,https://rotter.net/forum/scoops1/761562.shtml,2024-01-15,משה תחבורני,he,"נהגי האוטובוסים בירושלים פתחו בשביתת האטה במחאה על תנאי העבודה"
"צה״ל מכחיש: 'לא איבדנו טנק, הוא פשוט יצא לחופשה'","דובר צה״ל: 'הטנק החליט שהוא צריך break. גם לכלי רכב משוריינים מגיע זמן איכות'","במחנה הקומי",ביטחון,10,https://www.maariv.co.il/news/military/article-1141088,2024-01-15,גל צהלול,he,"צה״ל השלים תרגיל גדול בצפון הארץ בהשתתפות כוחות שריון וחיל האוויר"
"מזג האוויר: גשם צפוי - הממשלה מבטיחה מטריות","השר להגנת הסביבה: 'אנחנו שוקלים להעביר חוק שיאסור על גשם בימי עבודה'","חדשות סרקסטיות",מזג אוויר,7,https://www.ynet.co.il/news/article/bjvfcuhot,2024-01-15,ענן גשום,he,"גשם כבד צפוי להגיע לישראל בסוף השבוע. התרעות שיטפונות באזורים נמוכים"
"הייטק ישראלי: סטארטאפ גייס 100 מיליון דולר למוצר שעוד לא קיים","המשקיעים: 'אנחנו מאמינים בחזון'. החברה: 'גם אנחנו מנסים להבין מה החזון'","גיקטיים",טכנולוגיה,9,https://www.geektime.co.il/cybersecurity-startup-raises-100m/,2024-01-15,רון בועה,he,"חברת סייבר ישראלית גייסה 100 מיליון דולר בסבב גיוס בהובלת קרן אמריקאית"
"ראש הממשלה: 'הכל בשליטה' - האזרחים מחפשים את השלט","סקר חדש: 87% מהישראלים חושבים שהשלט של המזגן יותר אמין מהממשלה","מעריב צוחק",פוליטיקה,10,https://www.maariv.co.il/news/politics/article-1141234,2024-01-15,אבי פוליטיקאי,he,"ראש הממשלה נשא נאום בכנסת וקרא לאחדות לאומית בתקופה מאתגרת"
"תל אביב: חניה חינם למי שיוכיח שהוא לא מתל אביב","ראש העיר: 'אנחנו רוצים לעודד גיוון'. תושבי העיר: 'אבל אנחנו באמת לא מכאן, אנחנו רק גרים פה 20 שנה'","תל אביב הא!",עירוני,6,https://www.ynet.co.il/news/article/sysqhxwja,2024-01-15,רון תל אביבי,he,"עיריית תל אביב הכריזה על תוכנית חדשה להקלות בחניה במרכז העיר"
"משרד הבריאות: 'אכילת שוקולד זה בריא' - רופאי שיניים במחאה","איגוד רופאי השיניים: 'זה קונספירציה של תעשיית הממתקים'. ילדים ברחבי הארץ חוגגים","בריאות בצחוק",בריאות,7,https://www.ynet.co.il/health/article/b1wqxnhs6,2024-01-15,ד״ר מתוק,he,"מחקר חדש מצא יתרונות בריאותיים בצריכה מתונה של שוקולד מריר"
"בית המשפט: 'צדק נעשה' - הצדק: 'אני לא הייתי שם'","השופטים הבהירו שהצדק היה בחופשה באיים הקריביים בזמן ההחלטה","משפט וסדר קומי",משפט,8,https://www.maariv.co.il/news/law/article-1141567,2024-01-15,עו״ד צחוק,he,"בית המשפט העליון פסק בתיק עקרוני בנושא חופש הביטוי ברשתות החברתיות"
